"","created_at","screen_name","text","country","place_full_name"
"1",2019-08-23 14:32:41,"FWirany","192308 Taemin at RCTI 30th Anniversary Red Carpet #TAEMINinJKT https://t.co/U4oIyQYgMI",NA,NA
"2",2019-08-23 14:32:41,"katrinashih","Taemin is so humble and polite, but also so playful!!!!! AND he walks so cutely!!!!! <U+0001F97A><U+0001F62D><U+0001F497><U+0001F497><U+0001F497> #TAEMINinJKT https://t.co/T45scIenIu",NA,NA
"3",2019-08-23 14:25:33,"katrinashih","190823 vjdaniel IG: 

Annyeonghaseyo, Indonesia! #hutrcti30

https://t.co/S9VHncXj3W
https://t.co/aOkafXDbKo

#TAEMIN #<U+D0DC><U+BBFC> #<U+30C6><U+30DF><U+30F3> #TAEMINinJKT https://t.co/sSz5Uvmx6L",NA,NA
"4",2019-08-23 14:32:41,"Mandy_718","US SINGING MOVE AND TAEMIN DANCING RIGHT IN FRONT OF MY EYES SJJSJSJAJA #TAEMINinJKT https://t.co/fOSGR99CgZ",NA,NA
"5",2019-08-23 14:31:52,"Mandy_718","taeminaaaaa <U+0001F62D><U+0001F62D><U+0001F62D><U+0001F62D><U+0001F62D> he's such a tease <U+0001F62D><U+0001F62D><U+0001F62D><U+0001F62D><U+0001F62D> #TAEMINinJKT #taemin #<U+D0DC><U+BBFC> #RCTI30 #redcarpet https://t.co/3DsfzAXU6m",NA,NA
"6",2019-08-23 14:31:35,"Mandy_718","192308 Taemin at RCTI 30th Anniversary Red Carpet #TAEMINinJKT https://t.co/U4oIyQYgMI",NA,NA
"7",2019-08-23 14:31:46,"Mandy_718","MOVE #Taemin #TAEMINinJKT https://t.co/l7KjBs5Ad6",NA,NA
"8",2019-08-23 14:31:09,"Mandy_718","SAYAAAAAAANGGGGGG <U+2764><U+FE0F><U+0001F62D> #TAEMINinJKT #taemin #<U+D0DC><U+BBFC> https://t.co/UQ7RKotB1K",NA,NA
"9",2019-08-23 14:32:10,"Mandy_718","190823 <U+0001F493><U+0001F31F>
#TAEMIN #<U+D0DC><U+BBFC> #SHINEE #<U+C0E4><U+C774><U+B2C8> #<U+D0DC><U+BBFC> #<U+30C6><U+30DF><U+30F3>
#TAEMINinJKT https://t.co/C4YSNSd52X",NA,NA
"10",2019-08-23 14:30:55,"Mandy_718","190823
Taemin in SM Entertainment Indonesia

Taemin was the first korean artist i ever met and i was soooo happy when i saw him <U+0001F62D> finally i met SHINee <U+0001F62D><U+2764>
#TaemininJKT https://t.co/hRPYqa4cJd",NA,NA
"11",2019-08-23 14:32:40,"iheartshinee_","[MENT 1/2] istg taemin's indonesian is the cutest <U+3160><U+3160><U+3160><U+3160><U+3160><U+3160><U+3160><U+3160><U+3160><U+3160> #TAEMINinJKT https://t.co/d0jxFOw9YI",NA,NA
"12",2019-08-23 14:31:21,"iheartshinee_","190823 - RCTI+ Celebration #taemin #<U+D0DC><U+BBFC> #<U+30C6><U+30DF><U+30F3>  #TAEMINinJKT <U+2764><U+FE0F><U+2764><U+FE0F><U+2764><U+FE0F><U+2764><U+FE0F><U+0001F970><U+0001F970><U+0001F970><U+0001F60D><U+0001F60D><U+0001F60D> https://t.co/J0Mvztmg3m",NA,NA
